lat,long,radio,cluster,range,sample
14.266434,75.635376,GSM,1,1000,2
17.441482543945,78.377151489258,LTE,1,1000,1
16.991959,82.241592,UMTS,1,1000,3
18.465093,73.775494,LTE,3,1000,7
12.975540161133,77.551803588867,LTE,1,1000,2
21.895065307617,71.227798461914,GSM,3,1000,1
18.995949,72.825844,LTE,3,1000,1
12.927474975586,77.573776245117,UMTS,1,1000,1
17.735366821289,79.210739135742,UMTS,1,1000,1
15.847641,79.959457,GSM,1,1000,5
13.629227,79.509086,GSM,1,1203,4
30.740891,76.790085,GSM,0,1000,3
27.055892944336,77.352676391602,GSM,0,1000,1
12.996139526367,74.831314086914,UMTS,1,1000,1
12.755129,79.950256,GSM,1,5847,4
16.936111450195,79.797134399414,GSM,1,1000,1
13.110122680664,80.261306762695,GSM,1,1000,1
21.23176574707,81.608505249023,GSM,2,1000,1
19.210968,72.840729,UMTS,3,1000,2
19.07844543457,72.859268188477,UMTS,3,1000,1
13.092957,80.226974,GSM,1,1000,8
17.64267,79.727097,GSM,1,1150,2
28.642044067383,77.175521850586,GSM,0,1000,1
16.724624633789,80.312118530273,GSM,1,1000,1
22.559326,88.413574,GSM,2,1000,20
13.158187866211,80.298385620117,LTE,1,1000,1
30.829639,76.923973,LTE,0,1000,10
28.368759155273,77.336196899414,UMTS,0,1000,1
28.555526733398,77.251052856445,UMTS,0,1000,1
23.034896850586,72.520065307617,GSM,3,1000,1
28.587112,76.697617,GSM,0,1000,3
26.27243,72.998657,GSM,3,1000,2
22.507706,88.332794,GSM,2,1000,90
23.174379,72.637299,GSM,3,1000,1
28.727188110352,77.098617553711,UMTS,0,1000,1
19.039993286133,73.84391784668,GSM,3,1000,1
13.113556,80.235901,GSM,1,1000,2
28.598156,77.306499,GSM,0,1000,24
19.161301,73.228226,UMTS,3,1000,3
17.398910522461,78.51448059082,UMTS,1,1000,1
22.563858032227,88.355484008789,GSM,2,1000,1
23.374099731445,85.356216430664,GSM,2,1000,1
14.462814331055,79.989395141602,UMTS,1,1000,1
